Comments;;
['Merge from android-15.2-solutions-att', 'PHONE-1409: Phone - Scheduled Maintenance Not Working as Expected'];;
['Widget'];;
['Widget'];;
['Widget'];;
['Widget colors'];;
['BT Addition'];;
['Enabled BT module'];;
['lint fix'];;
['Removed unused resources'];;
['Lint fix'];;
['Added incpmpatible legacy client parameter'];;
['Lint fix'];;
['Added incompatibilty fragment'];;
['Reverted to prod urls'];;
['Lint fix'];;
['Legacy app uninstall'];;
['Legacy app uninstall'];;
['Legacy app uninstall'];;
['Legacy app uninstall'];;
['Lint fix'];;
['Lint fix'];;
"['FTRPC-159 : Frontier Android || ""Favorite"" is displayed when user selects Folders from \'All Files\' section', '']";;
['Added spanishclaros folder'];;
['Added telcel folder'];;
['Enabled spanishclaros and telcel clients'];;
['Removed client-att and mct-att'];;
"['FTRPC-199 : Frontier Android || Instead of ""All Files"", ""Files"" is displaying in Hamburger menu']";;
['Removed client-att and mct-att'];;
['Added ignores'];;
['FTRPC-55: Incorporate new Password Flows into Frontier Android 15.2 client for Frontier'];;
['Uopdated ignores'];;
['FTRPC-55: Incorporate new Password Flows into Frontier Android 15.2 client for Frontier', 'Missed file'];;
['Moved id splash_parent to ids.xml'];;
['FTRPC-191'];;
['BTPC-70'];;
"[""FTRPC-133: Frontier Android || User doesn't recieves a notification when a a file is shared with them""]";;
['Removed qa_wl builds'];;
"['FTRPC-152: Frontier Android Tablet || ""Available Offline"" is been displayed when user multi select time line photos(select Monts)']";;
['Remove empty dirs'];;
['FTRPC-201: Frontier Android || Contextual menu options positions changing when selecting the files'];;
['FTRPC-153: Frontier Android Tablet || User able to create dupliacte albums with same name', 'Merged from main line: Fixed ANDINTL-3815 User is able to create two or more albums with the same name.'];;
['Fixed typo'];;
['Fixed typo'];;
['FTRPC-160: Frontier Android || Favorite icon is not shown for some of the PDF files'];;
"[""Updated cloudsdkVersion to '1.0.8.25'"", 'PHONE-1759: Error ""WiFi Connection is Lost"" during initial backup while connected to WiFi']";;
['Set up qa to amxpc-api'];;
['Set up dev and prod to amxpc labs'];;
['Homescreen merge'];;
['Removed default settings'];;
['Disabled buddy sync for amx cient'];;
['Changed to the frontier prod endpoints'];;
['AMXPC-22: Incorporate new In-App Purchase Flows into Titans Android 15.2 client for Titans'];;
['Add private ArrayList<Count> delta to store difference between incoming and in memory counts.', 'Add setter updateDelta, called in append method.', 'Add getter for delta.'];;
['Reinstate sendBroadcast, called in notifyOnUpdate.', 'Initialises ACTION_UPDATE_COUNT intent and sends broadcast for HomeScreenWidget.'];;
['Add placeholder ImageView, containing operator logo and invisible ViewFlipper.', 'VF containts logo and TextView for update msg. Visibility toggled on update.'];;
['Make HomeScreenWidget vertically resizeable.'];;
['Add DELTA contstants such that Intent sent to HomeScreenWidget can hold delta counts for widet update message.', 'These are not currently used.'];;
"['Add logic onUpdate such that visibility of placeholder logo and viewflipper are toggled.', 'ViewFlipper flips every 5 seconds between logo and update message (""New content..."")/', 'After 60s visibility of the VF and placeholder logo are reversed, stopping the animation.', 'TODO: switch generic update message to ""X new photos, Y new files..."" from Matrix delta.']";;
['Add private List<Count> countsDelta.', 'Populated from CountsMerge.delta on Matrix.updateMediaType call.', 'Holds delta on Counts between this matrix and previous matrix.'];;
